"Начало отчетности","Окончание отчетности","Название объявления",Доставка,Результаты,"Индикатор результата",Охват,"Цена за результаты","Потраченная сумма (RUB)","Оценка актуальности"
2016-11-21,2016-11-21,richard_millew,inactive,,,0,,0,
2016-11-22,2016-11-22,richard_millew,inactive,,,0,,0,
2016-11-23,2016-11-23,richard_millew,inactive,,,0,,0,
2016-11-24,2016-11-24,richard_millew,inactive,,,0,,0,
2016-11-25,2016-11-25,richard_millew,inactive,,,0,,0,
2016-11-26,2016-11-26,richard_millew,inactive,,,0,,0,
2016-11-27,2016-11-27,richard_millew,inactive,,,0,,0,
2016-11-28,2016-11-28,richard_millew,inactive,,,0,,0,
2016-11-29,2016-11-29,richard_millew,inactive,,,0,,0,
2016-11-30,2016-11-30,richard_millew,inactive,,,0,,0,
2016-12-01,2016-12-01,richard_millew,inactive,,,0,,0,
2016-12-02,2016-12-02,richard_millew,inactive,,,0,,0,
2016-12-03,2016-12-03,richard_millew,inactive,,,0,,0,
2016-12-04,2016-12-04,richard_millew,inactive,,,0,,0,
2016-12-05,2016-12-05,richard_millew,inactive,,,0,,0,
2016-12-06,2016-12-06,richard_millew,inactive,,,0,,0,
2016-12-07,2016-12-07,richard_millew,inactive,,,0,,0,
2016-12-08,2016-12-08,richard_millew,inactive,,,0,,0,
2016-12-09,2016-12-09,richard_millew,inactive,,,0,,0,
2016-12-10,2016-12-10,richard_millew,inactive,,,0,,0,
2016-12-11,2016-12-11,richard_millew,inactive,,,0,,0,
2016-12-12,2016-12-12,richard_millew,inactive,,,0,,0,
2016-12-13,2016-12-13,richard_millew,inactive,,,0,,0,
2016-12-14,2016-12-14,richard_millew,inactive,,,0,,0,
2016-12-15,2016-12-15,richard_millew,inactive,,,0,,0,
2016-12-16,2016-12-16,richard_millew,inactive,,,0,,0,
2016-12-17,2016-12-17,richard_millew,inactive,,,0,,0,
2016-12-18,2016-12-18,richard_millew,inactive,1,actions:offsite_conversion.fb_pixel_add_to_cart,2488,524.22,524.22,7
2016-12-19,2016-12-19,richard_millew,inactive,,,0,,0,
2016-12-20,2016-12-20,richard_millew,inactive,,,0,,0,
2016-11-21,2016-11-21,richard_milles,inactive,,,0,,0,
2016-11-22,2016-11-22,richard_milles,inactive,,,0,,0,
2016-11-23,2016-11-23,richard_milles,inactive,,,0,,0,
